date,hour,market_demand,ontario_demand
2002-05-01,1,14141,14137
2002-05-01,2,13876,13872
2002-05-01,3,13974,13820
2002-05-01,4,13898,13744
2002-05-01,5,14378,14224
2002-05-01,6,15408,15404
2002-05-01,7,17070,17066
2002-05-01,8,17644,17640
2002-05-01,9,17723,17719
2002-05-01,10,17774,17770
2002-05-01,11,17729,17725
2002-05-01,12,17615,17611
2002-05-01,13,17530,17526
2002-05-01,14,17472,17468
2002-05-01,15,17482,17478
2002-05-01,16,17592,17588
2002-05-01,17,17650,17646
2002-05-01,18,17292,17288
2002-05-01,19,17231,17227
2002-05-01,20,17903,17899
2002-05-01,21,17906,17902
2002-05-01,22,16614,16610
2002-05-01,23,15364,15360
2002-05-01,24,14455,14451
2002-05-02,1,13945,13941
2002-05-02,2,13655,13651
2002-05-02,3,13823,13569
2002-05-02,4,13774,13610
2002-05-02,5,14368,14204
2002-05-02,6,15615,15601
2002-05-02,7,17610,17556
2002-05-02,8,18474,18420
2002-05-02,9,18703,18699
2002-05-02,10,18848,18844
2002-05-02,11,18891,18887
2002-05-02,12,18772,18768
2002-05-02,13,18616,18612
2002-05-02,14,18414,18410
2002-05-02,15,18396,18392
2002-05-02,16,18600,18596
2002-05-02,17,18656,18652
2002-05-02,18,18368,18364
2002-05-02,19,18293,18264
2002-05-02,20,18409,18405
2002-05-02,21,18213,18209
2002-05-02,22,16949,16945
2002-05-02,23,15753,15749
2002-05-02,24,14797,14793
2002-05-03,1,14239,14235
2002-05-03,2,14346,14092
2002-05-03,3,14426,13972
2002-05-03,4,14184,13980
2002-05-03,5,14331,14277
2002-05-03,6,15615,15611
2002-05-03,7,17569,17565
2002-05-03,8,18266,18262
2002-05-03,9,18356,18352
2002-05-03,10,18504,18500
2002-05-03,11,18486,18482
2002-05-03,12,18256,18252
2002-05-03,13,18035,18031
2002-05-03,14,17580,17576
2002-05-03,15,17423,17419
2002-05-03,16,17386,17357
2002-05-03,17,17104,17100
2002-05-03,18,16741,16712
2002-05-03,19,16484,16480
2002-05-03,20,16901,16897
2002-05-03,21,17254,17250
2002-05-03,22,16401,16397
2002-05-03,23,15221,15217
2002-05-03,24,14247,14243
2002-05-04,1,13680,13611
2002-05-04,2,13430,13361
2002-05-04,3,13485,13206
2002-05-04,4,13474,13205
2002-05-04,5,13467,13398
2002-05-04,6,13673,13604
2002-05-04,7,14535,14531
2002-05-04,8,15475,15471
2002-05-04,9,16078,16074
2002-05-04,10,16241,16237
2002-05-04,11,16170,16166
2002-05-04,12,16015,16011
2002-05-04,13,15725,15721
2002-05-04,14,15392,15388
2002-05-04,15,15098,15094
2002-05-04,16,15193,15189
2002-05-04,17,15265,15261
2002-05-04,18,14954,14950
2002-05-04,19,14803,14799
2002-05-04,20,15078,15074
2002-05-04,21,15537,15533
2002-05-04,22,15004,15000
2002-05-04,23,14520,14166
2002-05-04,24,13788,13369
2002-05-05,1,13187,12768
2002-05-05,2,12963,12444
2002-05-05,3,12870,12351
2002-05-05,4,12790,12271
2002-05-05,5,12844,12325
2002-05-05,6,12910,12491
2002-05-05,7,13011,12942
2002-05-05,8,13984,13980
2002-05-05,9,14598,14594
2002-05-05,10,14881,14877
2002-05-05,11,15115,15111
2002-05-05,12,15124,15120
2002-05-05,13,14916,14912
2002-05-05,14,14801,14797
2002-05-05,15,14721,14717
2002-05-05,16,14876,14872
2002-05-05,17,15064,15060
2002-05-05,18,14912,14908
2002-05-05,19,14894,14890
2002-05-05,20,15393,15389
2002-05-05,21,15873,15869
2002-05-05,22,15128,15059
2002-05-05,23,14454,14035
2002-05-05,24,13630,13211
2002-05-06,1,13683,12964
2002-05-06,2,13418,12699
2002-05-06,3,13312,12593
2002-05-06,4,13462,12743
2002-05-06,5,13597,13178
2002-05-06,6,14879,14460
2002-05-06,7,16447,16443
2002-05-06,8,17388,17334
2002-05-06,9,17838,17784
2002-05-06,10,18166,18112
2002-05-06,11,18270,18216
2002-05-06,12,18190,18136
2002-05-06,13,18266,18212
2002-05-06,14,18143,18089
2002-05-06,15,17985,17931
2002-05-06,16,18204,18150
2002-05-06,17,18447,18243
2002-05-06,18,18188,17984
2002-05-06,19,17924,17720
2002-05-06,20,18075,17871
2002-05-06,21,17846,17642
2002-05-06,22,16547,16343
2002-05-06,23,14967,14963
2002-05-06,24,13981,13977
2002-05-07,1,13888,13619
2002-05-07,2,13703,13184
2002-05-07,3,13805,13086
2002-05-07,4,13811,13092
2002-05-07,5,13753,13484
2002-05-07,6,14772,14703
2002-05-07,7,16526,16522
2002-05-07,8,17430,17426
2002-05-07,9,17864,17810
2002-05-07,10,18116,18062
2002-05-07,11,18313,18259
2002-05-07,12,18251,18201
2002-05-07,13,18185,18131
2002-05-07,14,17967,17913
2002-05-07,15,17816,17762
2002-05-07,16,17989,17935
2002-05-07,17,17873,17819
2002-05-07,18,17349,17295
2002-05-07,19,17034,16980
2002-05-07,20,17311,17257
2002-05-07,21,17638,17584
2002-05-07,22,16351,16299
2002-05-07,23,14985,14981
2002-05-07,24,14289,13950
2002-05-08,1,13838,13434
2002-05-08,2,13831,13127
2002-05-08,3,13772,12968
2002-05-08,4,14116,13112
2002-05-08,5,14450,13646
2002-05-08,6,15293,14789
2002-05-08,7,16743,16589
2002-05-08,8,17623,17469
2002-05-08,9,17738,17584
2002-05-08,10,17866,17712
2002-05-08,11,17981,17827
2002-05-08,12,17766,17612
2002-05-08,13,17731,17577
2002-05-08,14,17824,17470
2002-05-08,15,17939,17585
2002-05-08,16,18304,17950
2002-05-08,17,18315,17961
2002-05-08,18,18111,17698
2002-05-08,19,18111,17707
2002-05-08,20,18496,18092
2002-05-08,21,18338,17984
2002-05-08,22,17050,16696
2002-05-08,23,15692,15353
2002-05-08,24,14548,14329
2002-05-09,1,14093,13839
2002-05-09,2,13959,13605
2002-05-09,3,13980,13426
2002-05-09,4,14009,13355
2002-05-09,5,14223,13719
2002-05-09,6,15302,15188
2002-05-09,7,17561,17007
2002-05-09,8,18654,18100
2002-05-09,9,18899,18345
2002-05-09,10,19018,18468
