"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-80.75","43.98","MOUNT FOREST (AUT)","6145504","2019-04-01 00:00","2019","04","01","00:00","-5.9","","-8.8","","80","","30","","12","","","","97.12","","","","-11","","NA"
"-80.75","43.98","MOUNT FOREST (AUT)","6145504","2019-04-01 01:00","2019","04","01","01:00","-6.0","","-9.4","","77","","31","","13","","","","97.17","","","","-11","","NA"
"-80.75","43.98","MOUNT FOREST (AUT)","6145504","2019-04-01 02:00","2019","04","01","02:00","-6.9","","-9.9","","79","","30","","7","","","","97.18","","","","-10","","NA"
"-80.75","43.98","MOUNT FOREST (AUT)","6145504","2019-04-01 03:00","2019","04","01","03:00","-8.0","","-10.3","","83","","28","","4","","","","97.22","","","","-10","","NA"
"-80.75","43.98","MOUNT FOREST (AUT)","6145504","2019-04-01 04:00","2019","04","01","04:00","-9.2","","-10.8","","88","","28","","4","","","","97.26","","","","-11","","NA"
"-80.75","43.98","MOUNT FOREST (AUT)","6145504","2019-04-01 05:00","2019","04","01","05:00","-10.1","","-11.3","","91","","25","","4","","","","97.31","","","","-12","","NA"
"-80.75","43.98","MOUNT FOREST (AUT)","6145504","2019-04-01 06:00","2019","04","01","06:00","-10.0","","-10.9","","93","","22","","4","","","","97.35","","","","-12","","NA"
"-80.75","43.98","MOUNT FOREST (AUT)","6145504","2019-04-01 07:00","2019","04","01","07:00","-8.9","","-10.1","","92","","22","","4","","","","97.41","","","","-11","","NA"
"-80.75","43.98","MOUNT FOREST (AUT)","6145504","2019-04-01 08:00","2019","04","01","08:00","-6.3","","-8.8","","83","","23","","4","","","","97.48","","","","-8","","NA"
"-80.75","43.98","MOUNT FOREST (AUT)","6145504","2019-04-01 09:00","2019","04","01","09:00","-4.1","","-7.3","","78","","27","","10","","","","97.51","","","","-8","","NA"
"-80.75","43.98","MOUNT FOREST (AUT)","6145504","2019-04-01 10:00","2019","04","01","10:00","-3.0","","-7.2","","73","","27","","11","","","","97.55","","","","-7","","NA"
"-80.75","43.98","MOUNT FOREST (AUT)","6145504","2019-04-01 11:00","2019","04","01","11:00","-2.2","","-8.1","","64","","25","","11","","","","97.56","","","","-6","","NA"
"-80.75","43.98","MOUNT FOREST (AUT)","6145504","2019-04-01 12:00","2019","04","01","12:00","-1.5","","-8.8","","58","","25","","11","","","","97.52","","","","-5","","NA"
